iter	Passed	Remaining
0	34	3446
1	64	3168
2	91	2950
3	117	2824
4	144	2737
5	168	2644
6	195	2594
7	221	2545
8	246	2495
9	273	2461
10	298	2418
11	325	2384
12	350	2345
13	376	2314
14	402	2281
15	428	2250
16	454	2221
17	480	2190
18	507	2162
19	532	2130
20	558	2099
21	587	2084
22	614	2057
23	640	2028
24	666	1998
25	691	1968
26	717	1939
27	742	1910
28	767	1880
29	795	1855
30	821	1828
31	846	1798
32	873	1772
33	900	1747
34	927	1722
35	953	1694
36	980	1668
37	1006	1641
38	1037	1622
39	1075	1612
40	1103	1587
41	1142	1578
42	1175	1558
43	1203	1531
44	1230	1504
45	1258	1476
46	1286	1450
47	1313	1423
48	1340	1394
49	1366	1366
50	1392	1338
51	1419	1310
52	1445	1282
53	1471	1253
54	1497	1225
55	1522	1196
56	1548	1168
57	1574	1140
58	1602	1113
59	1629	1086
60	1658	1060
61	1684	1032
62	1709	1004
63	1735	976
64	1760	947
65	1786	920
66	1811	892
67	1837	864
68	1862	836
69	1888	809
70	1939	792
71	2033	790
72	2094	774
73	2145	753
74	2186	728
75	2228	703
76	2260	675
77	2288	645
78	2314	615
79	2343	585
80	2374	557
81	2407	528
82	2433	498
83	2461	468
84	2488	439
85	2514	409
86	2540	379
87	2567	350
88	2594	320
89	2619	291
90	2646	261
91	2672	232
92	2701	203
93	2727	174
94	2753	144
95	2779	115
96	2804	86
97	2830	57
98	2857	28
99	2882	0
